id,round,type,question,image,sound,video,A,B,C,D,correct,base_point,bet_options,bonus_point,explanation,explanation_image
1,warmup,mcq,8/3 là ngày gì,,,,Quốc tế phụ nữ,Thiếu nhi,Nhà giáo,Valentine,A,7,,,"Ngày 8/3 là Ngày Quốc tế Phụ nữ, tôn vinh phụ nữ trên toàn thế giới.",
2,warmup,fill,trên ảnh là: g_y,dat.jpg,,,,,,,guy,7,,,,
3,warmup,mcq,"Voi chín ngà, gà chín cựa, ngựa___",ngua_cat_dau_moi.jpg,,,Cắt đầu moi,9 LMAO,Ngựa ít thôi,chín hồng mao,D,4,,,Tưởng là ngựa cắt đầu moi không đấy =)))),
4,warmup,fill,_a_ _á,haila.jpg,,,,,,,hai lá,2,,,,
5,warmup,mcq,Tôi không sợ người học 10 000 cú đá mà tôi chỉ sợ ____,cuda.jpg,,,Họ đá tôi,người học 10 000 cú đấm,người học 1 cú đá 10 000 lần,,C,3,,,,
6,warmup,mcq,Lịch sử Quang Trung và Nguyễn Huệ là ???,lichsu.jpg,,,1,Bạn bè,anh em ruột,đối tác làm ăn,A,5,,,Không được nhầm là anh em đâu nhé ,
7,warmup,fill,Trả lời 'Đúng': 1 - 5 + (7 x 10) = ??,,,,,,,,Đúng,6,,,Phải đọc kĩ nhé. Yêu cầu trả lời ĐÚNG =))),
8,warmup,mcq,đây là câu gì ??,,,hoc_thay.mp4,Học thầy không tày học bạn,Không thầy đố mày làm nên,36 kế chạy là thượng sách,Làm thầy mày không nên đố,B,4,,,,
9,warmup,mcq,Đoạn nhạc sau là lời bài hát nào??,,tinh_dep_den_may_cung_tan.mp3,,Tình đẹp đến mấy cũng tàn,Ngày ấy,Ký ức không màu,Sai người sai thời điểm,A,3,,,,
10,warmup,mcq,"Ở Việt Nam, 8/3 còn gắn với cuộc khởi nghĩa nào?",,,,Bà Triệu,Hai Bà Trưng,Võ Thị Sáu,Nguyễn Thị Minh Khai,B,7,,,"Hai Bà Trưng lãnh đạo cuộc khởi nghĩa năm 40 chống nhà Hán, thể hiện tinh thần anh hùng và vai trò to lớn của phụ nữ Việt Nam trong lịch sử.",
11,warmup,mcq,1 cây làm chẳng nên non 3 cây chụm lại ,,,,thì thừa 2 cây,vẫn là 3 cây,nên hòn núi cao,,C,5,,,"Càng đọc càng thấy tào lao, cây làm nên núi thì tao chết liền",
12,warmup,mcq,Người tính không bằng,,,,AI,Trời tính,Máy tính,,B,5,,,,
13,warmup,mcq,Có công mài sắt,,,,Có ngày nên kim,Có ngày tháng năm,Có ngày mỏi tay,,A,5,,,,
14,warmup,mcq,Đây là câu ???,,,go_son.mp4,Thắng làm vua thua làm giặc,99% con bạc dừng lại trước khi thắng lớn,Da màu không mạnh bằng Daden,Tốt gỗ hơn tốt nước sơn,D,10,,,,
15,warmup,mcq,"Câu thành ngữ nào thể hiện tinh thần mạnh mẽ, kiên cường của phụ nữ Việt Nam?",,,,Công cha như núi Thái Sơn,Giặc đến nhà đàn bà cũng đánh,Đèn nhà ai nhà nấy rạng,Ăn quả nhớ kẻ trồng cây,B,10,,,,
16,bet,mcq,"Thành phố nào được gọi là ""thành phố ngàn hoa"" ở Việt Nam ?",,,,Buôn Ma Thuột,Đà Lạt,Nha Trang,Hải phòng,B,0,10.0,10.0,Đà Lạt được mệnh danh là thành phố hoa vì khí hậu mát mẻ quanh năm và có rất nhiều loài hoa đẹp nở khắp nơi.,dalat.jpg
17,bet,mcq,Món ăn nào là đặc sản Hội An ?,,,,Cao Lầu,Bánh Căn,Bún Bò,Phở sốt vang,A,0,5.0,7.0,Cao lầu là món đặc sản nổi tiếng của Hội An.,caolau.jpg
18,normal,mcq,Nghe nhạc đoán tên,,Sa Vào Nguy Hiểm _ 悬溺 (mp3cut.net).mp3,,悬溺,lao vào nguy hiểm,รีบเร่งเข้าสู่อันตราย,Rushing into danger,A,10,,,Nhạc trung thì phải tên Trung roi,
19,bet,mcq,Đèo Hải Vân Nối hai tỉnh nào??,,,,Quảng Bình - Hà Tĩnh,Nha Trang - Đà Lạt,Huế - Đà Nẵng,Bình Dương - Sài Gòn,C,0,5.0,9.0,Đèo Hải Vân dài đến mức như nối liền cả hai vùng trời của Đà Nẵng và Thừa Thiên Huế.,haivan.jpg
